	chr	start	end	TargetGene	PctChange	Significant	Regulated	IncludeInModel	CustomTargetGeneTSS	strand	PrimaryTissue	NeighborhoodCellLine	PerturbMethod	Clonality	RNAReadoutMethod	Reference	Notes	Reason	nKO	semKO	nCtrl	semCtrl	lfcSE	padj	ClassAnnotation	nTests	PowerAtEffectSize=0.1	PowerAtEffectSize=0.2	PowerAtEffectSize=0.25	PowerAtEffectSize=0.5	CellType	TargetGeneTSS	region.id
12	chr8	129057457	129057958	CCDC26	0.08056289999999999	True	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.025366997999999998	13.0	0.007589679		0.0036798890000000004		8.0	0.97905378	0.9999999970000001	1.0	1.0	K562		
13	chr8	129061537	129061789	CCDC26	-0.0020247	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.017149125	13.0	0.007589679		0.871160355		8.0	0.998450553	1.0	1.0	1.0	K562		
14	chr8	130594026	130594707	CCDC26	-0.918615	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.013425962	13.0	0.007589679		7.8e-15		8.0	0.999858881	1.0	1.0	1.0	K562		
15	chr8	130701606	130701940	CCDC26	-0.4234876	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.013544471	13.0	0.007589679		7.84e-11		8.0	0.999844498	1.0	1.0	1.0	K562		
16	chr8	130704704	130705463	CCDC26	-0.4055884	True	True	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Miniscreen	This study			2.0	0.074017159	13.0	0.007589679		9.98e-09		8.0	0.684457348	0.965938383	0.9937231670000001	0.999999998	K562		
17	chr12	56400867	56400888	SUOX	-0.527499842	True	True	True		*		K562	dCas9-KRAB	polyclonal	qPCR	Qi2018	one enhancer sgRNA with 3 replicates versus 3 replicates for GFP or no plasmid control		3.0	0.031398432999999996	6.0	0.047692992000000003		0.00017022	Enhancer	1.0					K562		
18	chrX	48641372	48641493	GATA1	-0.44	True	True	True		*		K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates		6.0	0.0241	15.0	0.01086			Enhancer	1.0	0.9761863740000001	0.9999999959999999	1.0	1.0	K562		
19	chrX	48659028	48659074	GATA1	-0.33	True	True	True		*		K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates		6.0	0.0284	15.0	0.01086			Enhancer	1.0	0.945297528	0.999999495	1.0	1.0	K562		
20	chrX	48641372	48641493	HDAC6	-0.42	True	True	True		*		K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates		6.0	0.0212	15.0	0.016			Enhancer	1.0	0.933257969	0.99999993	1.0	1.0	K562		
21	chrX	48659028	48659074	HDAC6	-0.22	True	True	True		*		K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates		6.0	0.042	15.0	0.016			Enhancer	1.0	0.705188358	0.9971482079999999	0.9999470890000001	1.0	K562		
22	chrX	48644930	48644969	HDAC6	0.47	True	False	True		*		K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates		6.0	0.0213	15.0	0.016			PromoterCompetitor	1.0	0.93239445	0.999999923	1.0	1.0	K562		
23	chrX	48660375	48660526	GATA1	0.09	True	False	True		*		K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 2 different sgRNAs each with 3 biological replicates		6.0	0.022000000000000002	15.0	0.01086			PromoterCompetitor	1.0	0.986169011	1.0	1.0	1.0	K562		
24	chr8	129189224	129189345	MYC	0.03	False	False	True		*		K562	KRAB-dCas9	polyclonal	qPCR	Fulco2016	average effect of 3 different sgRNAs each with 3 biological replicates		12.0	0.0488	20.0	0.019				1.0	0.564557512	0.9808713	0.998764467	1.0	K562		
25	chrX	48797400	48798550	PIM2	-0.504190564	True	True	True		*		K562	KRAB-dCas9	polyclonal	qPCR	This study	average effect of 2 different sgRNAs each with 4 biological replicates		8.0	0.001	8.0	0.001				1.0	1.0	1.0	1.0	1.0	K562		
26	chrX	48798640	48799830	PIM2	-0.397882339	True	True	True		*		K562	KRAB-dCas9	polyclonal	qPCR	This study	average effect of 2 different sgRNAs each with 4 biological replicates		8.0	0.001	8.0	0.001				1.0	1.0	1.0	1.0	1.0	K562		
27	chr20	55990155	55990155	RBM38	-0.662184153	True	True	True		*		K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D1 and D2 vs 3 GFP controls and other clones		4.0	0.023547828	8.0	0.10034531199999999		0.001096199	Enhancer	1.0	0.014197851000000001	0.11093455699999999	0.23072183100000002	0.9543936359999999	K562		
28	chr20	55990155	55990155	RAE1	-0.43748865200000003	True	True	True		*		K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D1 and D2 vs 3 GFP controls and other clones		4.0	0.04199775099999999	8.0	0.127914914		0.041811924	Enhancer	1.0	0.009131768	0.052888287	0.10636544	0.7293369829999999	K562		
29	chr1	3691278	3691778	SMIM1	-0.47201921700000005	True	True	True		*		K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D3, D4, D5 vs 3 GFP controls and other clones		6.0	0.02898205	6.0	0.092274391		0.000641649	Enhancer	1.0	0.11619723400000001	0.436327056	0.639332272	0.998366802	K562		
30	chr1	3691278	3691778	LRRC47	-0.331178093	True	True	True		*		K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D3, D4, D5 vs 3 GFP controls and other clones		6.0	0.070965872	6.0	0.070180177		0.007771168	Enhancer	1.0	0.110060984	0.41127404799999995	0.608994236	0.9972948840000001	K562		
31	chr1	3691278	3691778	CEP104	-0.29343186600000004	True	True	True		*		K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D3, D4, D5 vs 3 GFP controls and other clones		6.0	0.038949353	6.0	0.06877305		0.004023984	Enhancer	1.0	0.16779828300000002	0.618801382	0.8250936320000001	0.999979167	K562		
32	chr6	109625629	109626129	FIG4	-0.486749816	True	True	True		*		K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D6, D7 vs 3 GFP controls and other clones		4.0	0.039840478	8.0	0.136284567		0.034708806	Enhancer	1.0	0.007693603	0.042820585	0.08585783400000001	0.653207135	K562		
33	chr6	109625629	109626129	CD164	-0.657494624	True	True	True		*		K562	Cas9	clonal	qPCR	Ulirsch2016	Clones D6, D7 vs 3 GFP controls and other clones		4.0	0.035970989	8.0	0.100691793		0.001243625	Enhancer	1.0	0.015907299	0.112854044	0.228478415	0.9445590079999999	K562		
34	chrX	55054662	55054701	ALAS2	-0.93	True	True	True		*		K562	Cas9	clonal	qPCR	Wakabayashi2016	Obtained original measurements from authors.  4 independent ALAS2 homozygous KO clones vs 3 replicates of wild-type GFP		4.0	0.02719	3.0	0.02454			Enhancer	1.0	0.520619426	0.997298453	0.9999831640000001	1.0	K562		
35	chr10	127505227	127505304	UROS	-0.85	True	True	True		*		K562	Cas9	clonal	qPCR	Wakabayashi2016	Obtained original measurements from authors. 3 independent UROS homozygous KO clones vs 3 replicates of wild-type GFP		3.0	0.00656	3.0	0.12167			Enhancer	1.0	0.025247787	0.128179583	0.234322062	0.907757447	K562		
36	chr1	29210606	29210645	EPB41	-0.76	True	True	True		*		K562	Cas9	bulk	qPCR	Wakabayashi2016	Obtained original measurements from authors.  5 replicates EPB4-E1 construct vs 5 replicates GFP construct.		5.0	0.052000000000000005	5.0	0.0364			Enhancer	1.0	0.23252454600000003	0.800913275	0.9487245679999999	0.999999987	K562		
37	chr1	29211591	29211630	EPB41	-0.66	True	True	True		*		K562	Cas9	bulk	qPCR	Wakabayashi2016	Obtained original measurements from authors.  5 replicates EPB4-E2 construct vs 5 replicates GFP construct.		5.0	0.0148	5.0	0.0364			Enhancer	1.0	0.594419626	0.997314205	0.999975075	1.0	K562		
38	chr19	44278759	44278798	KCNN4	-0.72	True	True	True		*		K562	Cas9	bulk	qPCR	Wakabayashi2016	Obtained original measurements from authors.  3 replicates KCNN4 construct vs 3 replicates GFP construct.		3.0	0.011876000000000001	3.0	0.021490000000000002			Enhancer	1.0	0.9025715529999999	0.99999996	1.0	1.0	K562		
39	chr17	31224570	31224590	MYO1D	-0.69	True	True	True		*		K562	dCas9-KRAB	polyclonal	qPCR	Huang2018	Estimated from Figure 5d		6.0	0.021	3.0	0.1914			Enhancer	1.0	0.143424571	0.292632726	0.38742563399999996	0.8443118829999999	K562		
40	chr17	31220757	31222033	MYO1D	-0.387	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		6.0	0.0591	4.0	0.184			Enhancer	1.0	0.076460897	0.18092517	0.256838173	0.7390699740000001	K562		
41	chr17	31236528	31240709	MYO1D	-0.82	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		8.0	0.0231	4.0	0.184			Enhancer	1.0	0.159293234	0.32343255600000004	0.425242787	0.876897075	K562		
42	chr17	31237036	31237145	MYO1D	-0.48	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		6.0	0.07200000000000001	4.0	0.184			Enhancer	1.0	0.068077183	0.162519512	0.23235889199999998	0.703389782	K562		
43	chr17	31220757	31222033	TMEM98	-0.32899999999999996	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		6.0	0.064	4.0	0.018000000000000002			Enhancer	1.0	0.094379144	0.5752987310000001	0.8268913529999999	0.9999987140000001	K562		
44	chr17	31236528	31240709	TMEM98	-0.932	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		8.0	0.0074	4.0	0.018000000000000002			Enhancer	1.0	0.9994979829999999	1.0	1.0	1.0	K562		
45	chr17	31237036	31237145	TMEM98	-0.35200000000000004	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		6.0	0.0559	4.0	0.018000000000000002			Enhancer	1.0	0.136259357	0.72758525	0.927432074	0.9999999940000001	K562		
46	chr17	31220757	31222033	SPACA3	-0.32799999999999996	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		6.0	0.10800000000000001	4.0	0.134			Enhancer	1.0	0.042876644000000005	0.127728251	0.19858823399999997	0.727719425	K562		
47	chr17	31236528	31240709	SPACA3	-0.687	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		8.0	0.071	4.0	0.134			Enhancer	1.0	0.088831585	0.24554958600000001	0.359853692	0.90142411	K562		
48	chr17	31237036	31237145	SPACA3	-0.35700000000000004	True	True	True		*		K562	deletion	clonal	qPCR	Huang2018	Estimated from Figure 5f		6.0	0.07400000000000001	4.0	0.134			Enhancer	1.0	0.071412093	0.208372657	0.313680798	0.874462258	K562		
49	chr11	5301600	5302400	HBBP1	-0.81438	True	True	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression		3.0		3.0		0.231099926	3.95e-25	Enhancer	21.0	0.03	0.21	0.25	1.0	K562		
50	chr11	5301600	5302400	HBG1	-0.691966	True	True	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression		3.0		3.0		0.12288120699999999	1.26e-42	Enhancer	21.0	0.03	0.35	0.58	1.0	K562		
51	chr11	5301600	5302400	HBG2	-0.738582	True	True	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression		3.0		3.0		0.125739038	1.8999999999999998e-52	Enhancer	21.0	0.05	0.27	0.55	1.0	K562		
52	chr11	5301600	5302400	HBE1	-0.8648020000000001	True	True	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression		3.0		3.0		0.135643994	3.4499999999999994e-99	Enhancer	21.0	0.08	0.27	0.56	1.0	K562		
53	chr11	5301600	5302400	HBD	-0.692318	True	True	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Thakore2015	DESeq2 for RNA expression		3.0		3.0		0.318290189	3.85e-07	Enhancer	21.0	0.1	0.09	0.18	0.78	K562		
54	chr11	5296984	5297290	HBG2	-0.499976039	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S5		3.0		4.0		0.032825728	1.9603e-05	Enhancer	1.0					K562		
55	chr11	5305924	5306090	HBG1	-0.308306584	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S8		3.0		4.0		0.063640634	0.00025322	Enhancer	1.0					K562		
56	chr11	5305924	5306090	HBG2	-0.415828463	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S9		3.0		4.0		0.10209484199999999	1.97e-06	Enhancer	1.0					K562		
57	chr11	5309413	5309590	HBG1	-0.29499591399999997	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S10		3.0		4.0		3.041761095	1.26e-10	Enhancer	1.0					K562		
58	chr11	5309413	5309590	HBG2	-0.5825037160000001	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S11		3.0		4.0		0.13317909	3.11e-11	Enhancer	1.0					K562		
59	chr6	37018088	37018230	PIM1	-0.300888296	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S12		3.0		4.0		0.070802577	0.0018447	Enhancer	1.0					K562		
60	chr6	37151047	37151290	PIM1	-0.888781235	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S14		3.0		4.0		0.583085194	3.9200000000000005e-09	Enhancer	1.0					K562		
61	chr11	61602067	61602390	FADS1	-0.580721711	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S20		3.0		4.0		0.28290145899999997	1.3699999999999998e-25	Enhancer	1.0					K562		
62	chr11	61609256	61609274	FADS1	-0.265317927	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S21		3.0		4.0		0.144407415	0.0065232	Enhancer	1.0					K562		
63	chr11	61739083	61739510	FTH1	-0.181220904	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S22		3.0		4.0		0.046677912	1.12e-07	Enhancer	1.0					K562		
64	chr7	106650779	106650797	PRKAR2B	-0.089519735	True	True	True		*		K562	KRAB-dCas9	polyclonal	PerturbSeq	Xie2017	Average log2 Fold Change for 3 guides from Table S23		3.0		4.0		3.257356087	5.09e-06	Enhancer	1.0					K562		
65	chr5	111496632	111496741	REEP5	-0.04334	False	False	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression		2.0		16.0		0.088024824	0.668182749		10.0	0.13	0.79	0.98	1.0	K562		
66	chr5	111496632	111496741	EPB41L4A	-0.55998	True	True	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression		2.0		16.0		0.15124934	2.43e-14	Enhancer	10.0	0.07	0.33	0.6	1.0	K562		
67	chr18	72265021	72265042	CNDP2	0.0111582	False	False	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression		3.0		15.0		0.10987188	0.9142375709999999		6.0	0.13	0.62	0.87	1.0	K562		
68	chr18	72265021	72265042	ZADH2	0.008750399999999998	False	False	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression		3.0		15.0		0.116712064	0.9142375709999999		6.0	0.13	0.62	0.81	1.0	K562		
69	chr17	56409627	56409896	MRPS23	0.018897999999999998	False	False	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression		2.0		16.0		0.085374764	0.928601676		21.0	0.02	0.55	0.91	1.0	K562		
70	chr17	56409627	56409896	SMG8	0.076625	False	False	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression		2.0		16.0		0.09536179	0.855310424		21.0	0.02	0.47	0.83	1.0	K562		
71	chr6	135644462	135644615	MYB	-0.8978389999999999	True	True	True		*		K562	KRAB-dCas9	polyclonal	RNASeq	Liu2017	DESeq2 for RNA expression		2.0		16.0		0.168501187	3.559999999999999e-84	Enhancer	6.0	0.09	0.38	0.57	1.0	K562		
72	chr17	40851240	40851334	EZH1	-0.58	True	True	True		*		K562	Cas9	clonal	qPCR	Xu2015	Estimated from Figure 2F.  N refers to number of clones		7.0	0.06047431599999999	9.0	0.06433333299999999			Enhancer	1.0	0.143202345	0.526522586	0.736573728	0.999734145	K562		
73	chr19	12313025	12313565	PRDX2	0.0015094420000000002	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			59.0	0.016123273025	975.0	0.0030369949402699998		0.9340057110459999		122.0	0.999996611437	1.0	1.0	1.0	K562		
74	chr19	12404485	12405065	PRDX2	0.021621857	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			53.0	0.0150008764178	975.0	0.0030369949402699998		0.426909455043		122.0	0.999999011083	1.0	1.0	1.0	K562		
75	chr19	12405464	12405965	PRDX2	-0.001712096	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			82.0	0.009802139252889999	975.0	0.0030369949402699998		0.9481885520469999		122.0	1.0	1.0	1.0	1.0	K562		
76	chr19	12441885	12442945	PRDX2	0.013027806000000001	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			52.0	0.0125932269695	975.0	0.0030369949402699998		0.650068358079		122.0	0.999999990525	1.0	1.0	1.0	K562		
77	chr19	12444284	12444845	PRDX2	-0.018363259	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			70.0	0.00850660964966	975.0	0.0030369949402699998		0.458467053269		122.0	1.0	1.0	1.0	1.0	K562		
78	chr19	12475465	12476005	PRDX2	-0.028558128999999998	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			4.0	0.0341312497895	975.0	0.0030369949402699998		0.786282781453		122.0	0.548613712074	0.9988190555750001	0.999996596953	1.0	K562		
79	chr19	12476225	12476805	PRDX2	0.010801907	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			92.0	0.00864341696389	975.0	0.0030369949402699998		0.599283678803		122.0	1.0	1.0	1.0	1.0	K562		
80	chr19	12511838	12512405	PRDX2	0.006273231999999999	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			58.0	0.0130844024212	975.0	0.0030369949402699998		0.79638058576		122.0	0.9999999824339999	1.0	1.0	1.0	K562		
81	chr19	12522625	12523145	PRDX2	0.0025205460000000002	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			47.0	0.012582598743399998	975.0	0.0030369949402699998		0.931818212256		122.0	0.9999999836519999	1.0	1.0	1.0	K562		
82	chr19	12551676	12552205	PRDX2	-0.017909561	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			58.0	0.011880600934600001	975.0	0.0030369949402699998		0.562809421164		122.0	0.9999999992799998	1.0	1.0	1.0	K562		
83	chr19	12595382	12595925	PRDX2	0.0006748619999999999	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			83.0	0.00999350529196	975.0	0.0030369949402699998		0.9497240308239999		122.0	1.0	1.0	1.0	1.0	K562		
84	chr19	12605985	12606485	PRDX2	-0.014550883999999998	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			78.0	0.010472218076	975.0	0.0030369949402699998		0.562809421164		122.0	0.999999999999	1.0	1.0	1.0	K562		
85	chr19	12632705	12633245	PRDX2	0.011930345	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			29.0	0.014350201299	975.0	0.0030369949402699998		0.734308587904		122.0	0.9999938047799999	1.0	1.0	1.0	K562		
86	chr19	12654525	12655045	PRDX2	-0.0034648290000000004	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			25.0	0.0165296121884	975.0	0.0030369949402699998		0.9334639351010001		122.0	0.9998690962700001	1.0	1.0	1.0	K562		
87	chr19	12655125	12655625	PRDX2	0.019307584	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			40.0	0.0149015809328	975.0	0.0030369949402699998		0.562809421164		122.0	0.999997265914	1.0	1.0	1.0	K562		
88	chr19	12662106	12662665	PRDX2	-0.003015864	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			93.0	0.012035023992999999	975.0	0.0030369949402699998		0.906515455978		122.0	0.999999999891	1.0	1.0	1.0	K562		
89	chr19	12674785	12675285	PRDX2	-0.013102107	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			53.0	0.0125156860138	975.0	0.0030369949402699998		0.650068358079		122.0	0.999999992983	1.0	1.0	1.0	K562		
90	chr19	12721373	12721981	PRDX2	0.0034441909999999997	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			84.0	0.0115065629247	975.0	0.0030369949402699998		0.8458406603730001		122.0	0.999999999973	1.0	1.0	1.0	K562		
91	chr19	12750825	12751345	PRDX2	0.029030702999999998	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			86.0	0.0233677285548	975.0	0.0030369949402699998		0.11969360286599999		122.0	0.9992805333079999	1.0	1.0	1.0	K562		
92	chr19	12758305	12758885	PRDX2	-0.011473466000000002	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			97.0	0.009304222221620001	975.0	0.0030369949402699998		0.599283678803		122.0	1.0	1.0	1.0	1.0	K562		
93	chr19	12777325	12777867	PRDX2	0.009119347	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			95.0	0.008186736342449999	975.0	0.0030369949402699998		0.650068358079		122.0	1.0	1.0	1.0	1.0	K562		
94	chr19	12780145	12780725	PRDX2	-0.00242535	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			82.0	0.00959400958241	975.0	0.0030369949402699998		0.9334639351010001		122.0	1.0	1.0	1.0	1.0	K562		
95	chr19	12782725	12783305	PRDX2	0.014176498999999999	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			24.0	0.0187142809184	975.0	0.0030369949402699998		0.722485964472		122.0	0.999289747324	1.0	1.0	1.0	K562		
96	chr19	12787065	12787585	PRDX2	0.00268462	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			81.0	0.011684117821599999	975.0	0.0030369949402699998		0.8852200977310001		122.0	0.999999999938	1.0	1.0	1.0	K562		
97	chr19	12791925	12792425	PRDX2	-0.006678127	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			83.0	0.011718371262299998	975.0	0.0030369949402699998		0.7888274964920001		122.0	0.999999999938	1.0	1.0	1.0	K562		
98	chr19	12792451	12792985	PRDX2	-0.0216455	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			59.0	0.0102194159325	975.0	0.0030369949402699998		0.426909455043		122.0	0.999999999999	1.0	1.0	1.0	K562		
99	chr19	12807205	12807765	PRDX2	-0.013362327	False	False	True		*		K562	KRAB-dCas9	SingleCell	FlowFISH Screen	Fulco2019			53.0	0.0117381388399	975.0	0.0030369949402699998		0.650068358079		122.0	0.999999999191	1.0	1.0	1.0	K562		
