File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF753OFQ	bam	bam		unfiltered alignments	hg19	ENCSR000AUP	Histone ChIP-seq	CL:0000236	B cell	primary cell	Homo sapiens										H3K27ac-human	DNA						2012-08-06	ENCODE		see document		2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF000ANV/	3351323759	ENCODE Processing Pipeline	203bc1afcb184e6618a6d357a7941600		https://www.encodeproject.org/files/ENCFF753OFQ/@@download/ENCFF753OFQ.bam				released	s3://encode-public/2017/04/12/0029467a-e67b-46a6-af44-5f13aa9e6524/ENCFF753OFQ.bam	low read length, moderate library complexity, mild to moderate bottlenecking		
ENCFF156SXI	bam	bam		unfiltered alignments	hg19	ENCSR000FCU	Histone ChIP-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABN/	1090382851	ENCODE Processing Pipeline	4c4424ec35d65ca361cdfcfb29213bea		https://www.encodeproject.org/files/ENCFF156SXI/@@download/ENCFF156SXI.bam				released	s3://encode-public/2017/01/31/a8373d8b-4156-46dd-ade5-501a53126965/ENCFF156SXI.bam	mixed read lengths, inconsistent platforms, low read length, low read depth		
ENCFF904SZU	bam	bam		alignments	hg19	ENCSR000FCU	Histone ChIP-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	2	2_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABN/	734984959	ENCODE Processing Pipeline	daaa13f604466e3a66ff8b3ddb267419		https://www.encodeproject.org/files/ENCFF904SZU/@@download/ENCFF904SZU.bam				released	s3://encode-public/2017/01/31/7802c5dd-785b-4aea-9753-2e8ae2e3c158/ENCFF904SZU.bam	mixed read lengths, inconsistent platforms, low read length, low read depth		
ENCFF661SPP	bam	bam		unfiltered alignments	hg19	ENCSR000FCU	Histone ChIP-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABL/	1533015392	ENCODE Processing Pipeline	05d1a90a998f5f9d8beb775cee16bdc7		https://www.encodeproject.org/files/ENCFF661SPP/@@download/ENCFF661SPP.bam				released	s3://encode-public/2017/02/01/9485bf1e-05c1-4ae8-b061-0017af6dad05/ENCFF661SPP.bam	mixed read lengths, inconsistent platforms, low read length, low read depth		
ENCFF972XSR	bam	bam		alignments	hg19	ENCSR000FCU	Histone ChIP-seq	EFO:0003072	SK-N-SH	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABL/	1185375270	ENCODE Processing Pipeline	be80af742f4f7958345e5871985fb378		https://www.encodeproject.org/files/ENCFF972XSR/@@download/ENCFF972XSR.bam				released	s3://encode-public/2017/02/01/42451c1d-6d02-4697-a524-c633747deb86/ENCFF972XSR.bam	mixed read lengths, inconsistent platforms, low read length, low read depth		
ENCFF250OOT	bam	bam		unfiltered alignments	hg19	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		2	2_2		36					/files/ENCFF807MUK/, /files/ENCFF000AWV/	910891312	ENCODE Processing Pipeline	112484dd26f0c82609de6bf791f9752d		https://www.encodeproject.org/files/ENCFF250OOT/@@download/ENCFF250OOT.bam				released	s3://encode-public/2016/11/13/788c72b2-c6c2-4778-80cc-4bbf36e601d5/ENCFF250OOT.bam	low read depth, inconsistent platforms, low read length		
ENCFF782JPR	bam	bam		unfiltered alignments	hg19	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		1	1_1		36					/files/ENCFF000AWR/, /files/ENCFF807MUK/	1095583219	ENCODE Processing Pipeline	1d0f394727ca22a63e1e66c19b124307		https://www.encodeproject.org/files/ENCFF782JPR/@@download/ENCFF782JPR.bam				released	s3://encode-public/2016/11/13/0984e7e8-218d-465b-b7b1-454a3784104b/ENCFF782JPR.bam	low read depth, inconsistent platforms, low read length		
ENCFF948TVI	bam	bam		alignments	hg19	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		2	2_2		36					/files/ENCFF807MUK/, /files/ENCFF000AWV/	591794270	ENCODE Processing Pipeline	41b2a377516bd654877e65c219acf178		https://www.encodeproject.org/files/ENCFF948TVI/@@download/ENCFF948TVI.bam				released	s3://encode-public/2016/11/13/d00277b7-7658-43fc-8915-4da8b9c35a41/ENCFF948TVI.bam	low read depth, inconsistent platforms, low read length		
ENCFF661NZB	bam	bam		alignments	hg19	ENCSR000ANP	Histone ChIP-seq	EFO:0003042	H1	cell line	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		1	1_1		36					/files/ENCFF000AWR/, /files/ENCFF807MUK/	659647663	ENCODE Processing Pipeline	b49f3b90df7ebf22b6e261853d8cfdf5		https://www.encodeproject.org/files/ENCFF661NZB/@@download/ENCFF661NZB.bam				released	s3://encode-public/2016/11/13/1f8dac33-4e36-4e4f-b76c-afad77528662/ENCFF661NZB.bam	low read depth, inconsistent platforms, low read length		
ENCFF243KXH	bam	bam		unfiltered alignments	hg19	ENCSR143XNJ	Histone ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K27ac-human	DNA						2019-07-19	ENCODE		sonication (generic)	200-600	1	1_1, 1_2		76					/files/ENCFF402XQS/, /files/ENCFF807MUK/, /files/ENCFF219MND/, /files/ENCFF091VXJ/, /files/ENCFF293EZM/	3533671341	ENCODE Processing Pipeline	edfc3d20cb96553359d649c26dcf0279		https://www.encodeproject.org/files/ENCFF243KXH/@@download/ENCFF243KXH.bam				released	s3://encode-public/2019/06/12/8d5e6e1e-7925-40d9-9002-267bef0fab26/ENCFF243KXH.bam	mild to moderate bottlenecking		
ENCFF347NVE	bam	bam		alignments	hg19	ENCSR143XNJ	Histone ChIP-seq	UBERON:0006920	esophagus squamous epithelium	tissue	Homo sapiens										H3K27ac-human	DNA						2019-07-19	ENCODE		sonication (generic)	200-600	1	1_1, 1_2		76					/files/ENCFF402XQS/, /files/ENCFF807MUK/, /files/ENCFF219MND/, /files/ENCFF091VXJ/, /files/ENCFF293EZM/	2835723590	ENCODE Processing Pipeline	4911b56efa64774860d6e4aa7a97d6de		https://www.encodeproject.org/files/ENCFF347NVE/@@download/ENCFF347NVE.bam				released	s3://encode-public/2019/06/12/df0b8b82-d782-4cf3-8c02-02c5976dd897/ENCFF347NVE.bam	mild to moderate bottlenecking		
ENCFF076IWU	bam	bam		alignments	hg19	ENCSR189JIH	Histone ChIP-seq	UBERON:0000995	uterus	tissue	Homo sapiens										H3K27ac-human	DNA						2018-12-11	ENCODE		sonication (generic)	200-600	1	1_1, 1_2		76					/files/ENCFF534QUU/, /files/ENCFF250ZFX/, /files/ENCFF631MUY/, /files/ENCFF807MUK/, /files/ENCFF941GCO/	2501506672	ENCODE Processing Pipeline	a5f10b34ba5f1effb4c8e628aa110e1b		https://www.encodeproject.org/files/ENCFF076IWU/@@download/ENCFF076IWU.bam				released	s3://encode-public/2018/11/27/a2f37720-3086-419d-8740-3cb9d2f9aa6e/ENCFF076IWU.bam			
ENCFF682UXD	bam	bam		unfiltered alignments	hg19	ENCSR189JIH	Histone ChIP-seq	UBERON:0000995	uterus	tissue	Homo sapiens										H3K27ac-human	DNA						2018-12-11	ENCODE		sonication (generic)	200-600	1	1_1, 1_2		76					/files/ENCFF534QUU/, /files/ENCFF250ZFX/, /files/ENCFF631MUY/, /files/ENCFF807MUK/, /files/ENCFF941GCO/	2926599444	ENCODE Processing Pipeline	abdff3143456f58d21ce6cdf60cd46d7		https://www.encodeproject.org/files/ENCFF682UXD/@@download/ENCFF682UXD.bam				released	s3://encode-public/2018/11/27/13dd7d75-ccf1-458a-ae0e-0968bd2d5337/ENCFF682UXD.bam			
ENCFF399BXE	bam	bam		unfiltered alignments	hg19	ENCSR593INW	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		none, sonication (generic)	200-600	1	1_1, 1_2		76					/files/ENCFF182FPX/, /files/ENCFF986ZAV/, /files/ENCFF807MUK/, /files/ENCFF217IJW/, /files/ENCFF869PEP/, /files/ENCFF707OJX/, /files/ENCFF472SZN/	5924331106	ENCODE Processing Pipeline	f1ad7732062111c00c74aeaf6f76bbdc		https://www.encodeproject.org/files/ENCFF399BXE/@@download/ENCFF399BXE.bam				released	s3://encode-public/2019/07/17/9680e9e8-d1a6-459d-99c4-7c5b56a27d3e/ENCFF399BXE.bam	inconsistent platforms, moderate library complexity, mild to moderate bottlenecking		
ENCFF641DUI	bam	bam		alignments	hg19	ENCSR593INW	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		none, sonication (generic)	200-600	1	1_1, 1_2		76					/files/ENCFF182FPX/, /files/ENCFF986ZAV/, /files/ENCFF807MUK/, /files/ENCFF217IJW/, /files/ENCFF869PEP/, /files/ENCFF707OJX/, /files/ENCFF472SZN/	4210191746	ENCODE Processing Pipeline	0f26400c3edc710c6bcad300c3820f7b		https://www.encodeproject.org/files/ENCFF641DUI/@@download/ENCFF641DUI.bam				released	s3://encode-public/2019/07/17/bf044a9b-70ef-4824-a515-586fcdd1af4c/ENCFF641DUI.bam	inconsistent platforms, moderate library complexity, mild to moderate bottlenecking		
ENCFF019JSQ	bam	bam		unfiltered alignments	hg19	ENCSR593INW	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		none, sonication (generic)	200-600	2	2_1, 2_2		76					/files/ENCFF807MUK/, /files/ENCFF440LEQ/, /files/ENCFF420QFH/, /files/ENCFF133JDR/, /files/ENCFF800EUJ/, /files/ENCFF118GIP/, /files/ENCFF758QZC/, /files/ENCFF038GOC/, /files/ENCFF753OIX/	1925336467	ENCODE Processing Pipeline	4ca717313c2d348c32acf2c881a55921		https://www.encodeproject.org/files/ENCFF019JSQ/@@download/ENCFF019JSQ.bam				released	s3://encode-public/2019/08/28/6207ce56-02c5-4c11-a885-8d9a0fbbfe60/ENCFF019JSQ.bam	inconsistent platforms, moderate library complexity, mild to moderate bottlenecking		
ENCFF067OBZ	bam	bam		alignments	hg19	ENCSR593INW	Histone ChIP-seq	UBERON:0002106	spleen	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		none, sonication (generic)	200-600	2	2_1, 2_2		76					/files/ENCFF807MUK/, /files/ENCFF440LEQ/, /files/ENCFF420QFH/, /files/ENCFF133JDR/, /files/ENCFF800EUJ/, /files/ENCFF118GIP/, /files/ENCFF758QZC/, /files/ENCFF038GOC/, /files/ENCFF753OIX/	1612932045	ENCODE Processing Pipeline	4aeab612c899e70b54de4fe50e00122e		https://www.encodeproject.org/files/ENCFF067OBZ/@@download/ENCFF067OBZ.bam				released	s3://encode-public/2019/08/28/12756c7b-9617-4a31-b28b-9034b5b5bab1/ENCFF067OBZ.bam	inconsistent platforms, moderate library complexity, mild to moderate bottlenecking		
ENCFF249JEZ	bam	bam		alignments	hg19	ENCSR000FCH	Histone ChIP-seq	EFO:0001182	HEK293	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABA/	173685096	ENCODE Processing Pipeline	c48d089a2e83fac21edaec5282368d83		https://www.encodeproject.org/files/ENCFF249JEZ/@@download/ENCFF249JEZ.bam				released	s3://encode-public/2017/01/31/8791f732-ef7f-429d-9ae0-c0f227c0e1b8/ENCFF249JEZ.bam	low read depth, inconsistent platforms, low read length, control low read depth		extremely low read depth
ENCFF219COP	bam	bam		unfiltered alignments	hg19	ENCSR000FCH	Histone ChIP-seq	EFO:0001182	HEK293	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF002ABA/	233387877	ENCODE Processing Pipeline	d13ad8c4dc217ae731abcbcf9c55ccad		https://www.encodeproject.org/files/ENCFF219COP/@@download/ENCFF219COP.bam				released	s3://encode-public/2017/01/31/6dfdb257-dd94-4484-9925-4cb4bd1a9cb6/ENCFF219COP.bam	low read depth, inconsistent platforms, low read length, control low read depth		extremely low read depth
ENCFF452WMV	bam	bam		alignments	hg19	ENCSR000FCH	Histone ChIP-seq	EFO:0001182	HEK293	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	2	2_1, 2_2		36					/files/ENCFF002ABC/, /files/ENCFF002AAY/, /files/ENCFF807MUK/	468714371	ENCODE Processing Pipeline	1f915e837dbb685b4bc44667fdd3125d		https://www.encodeproject.org/files/ENCFF452WMV/@@download/ENCFF452WMV.bam				released	s3://encode-public/2017/01/31/a53382cc-d772-4ffb-b19b-cf836eeade45/ENCFF452WMV.bam	low read depth, inconsistent platforms, low read length, control low read depth		extremely low read depth
ENCFF706GDY	bam	bam		unfiltered alignments	hg19	ENCSR000FCH	Histone ChIP-seq	EFO:0001182	HEK293	cell line	Homo sapiens										H3K27ac-human	DNA						2014-07-07	ENCODE		sonication (Bioruptor generic)	200-500	2	2_1, 2_2		36					/files/ENCFF002ABC/, /files/ENCFF002AAY/, /files/ENCFF807MUK/	674343993	ENCODE Processing Pipeline	97c4a53ab18d2dfdad46e7f319ad666d		https://www.encodeproject.org/files/ENCFF706GDY/@@download/ENCFF706GDY.bam				released	s3://encode-public/2017/01/31/5ef334d7-bd81-4c9e-8a2a-e1510a264b2a/ENCFF706GDY.bam	low read depth, inconsistent platforms, low read length, control low read depth		extremely low read depth
ENCFF290RMZ	bam	bam		unfiltered alignments	hg19	ENCSR894MOX	Histone ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		sonication (generic)	200-600	2	2_1		76					/files/ENCFF103LRC/, /files/ENCFF807MUK/, /files/ENCFF773AMW/, /files/ENCFF225NHL/, /files/ENCFF179QOO/	1506392687	ENCODE Processing Pipeline	ae585cc36055aa73e7b1cc2b55429c66		https://www.encodeproject.org/files/ENCFF290RMZ/@@download/ENCFF290RMZ.bam				released	s3://encode-public/2019/08/28/9f7e9d00-6a53-4dc5-9057-f06b36c6a12b/ENCFF290RMZ.bam			
ENCFF629PQY	bam	bam		unfiltered alignments	hg19	ENCSR894MOX	Histone ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		sonication (generic)	200-600	1	1_1		76					/files/ENCFF807MUK/, /files/ENCFF195EZZ/, /files/ENCFF376UAD/, /files/ENCFF405ZBR/, /files/ENCFF149LPB/	1895519535	ENCODE Processing Pipeline	fd55094df933e4a27b38e7622b11f58c		https://www.encodeproject.org/files/ENCFF629PQY/@@download/ENCFF629PQY.bam				released	s3://encode-public/2019/08/28/499715f1-9093-4a09-bc83-3d2a924b3090/ENCFF629PQY.bam			
ENCFF342NVV	bam	bam		alignments	hg19	ENCSR894MOX	Histone ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		sonication (generic)	200-600	2	2_1		76					/files/ENCFF103LRC/, /files/ENCFF807MUK/, /files/ENCFF773AMW/, /files/ENCFF225NHL/, /files/ENCFF179QOO/	1300929181	ENCODE Processing Pipeline	88046691e8215dc3c425254cd4e3c77b		https://www.encodeproject.org/files/ENCFF342NVV/@@download/ENCFF342NVV.bam				released	s3://encode-public/2019/08/28/0d39e7e5-c581-4758-93da-44147c2f243b/ENCFF342NVV.bam			
ENCFF733TOJ	bam	bam		alignments	hg19	ENCSR894MOX	Histone ChIP-seq	UBERON:0004648	esophagus muscularis mucosa	tissue	Homo sapiens										H3K27ac-human	DNA						2019-09-11	ENCODE		sonication (generic)	200-600	1	1_1		76					/files/ENCFF807MUK/, /files/ENCFF195EZZ/, /files/ENCFF376UAD/, /files/ENCFF405ZBR/, /files/ENCFF149LPB/	1622061970	ENCODE Processing Pipeline	f3aa339ea6842ae5e94b084fd836d605		https://www.encodeproject.org/files/ENCFF733TOJ/@@download/ENCFF733TOJ.bam				released	s3://encode-public/2019/08/28/96760e7c-c1bf-47cb-80b4-2f7ef8c22bdc/ENCFF733TOJ.bam			
ENCFF955HWB	bam	bam		unfiltered alignments	hg19	ENCSR000APN	Histone ChIP-seq	CL:0002551	fibroblast of dermis	primary cell	Homo sapiens										H3K27ac-human	DNA						2011-02-10	ENCODE		see document		1	1_1		36					/files/ENCFF807MUK/, /files/ENCFF000CKG/	1157916494	ENCODE Processing Pipeline	e54a3f259de65ceeabe3dc44f67ae3d6		https://www.encodeproject.org/files/ENCFF955HWB/@@download/ENCFF955HWB.bam				released	s3://encode-public/2017/04/04/558d5f98-7661-4c82-b095-41e1034fdd2f/ENCFF955HWB.bam	inconsistent platforms, low read length, moderate library complexity, mild to moderate bottlenecking	insufficient read depth	
