File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR	Biosample stage
ENCFF953OLV	bam	bam		unfiltered alignments	hg19	ENCSR371KRY	DNase-seq	NTR:0000522	fibroblast of skin of left quadriceps	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_5							/files/ENCFF106SPD/, /files/ENCFF121IJO/, /files/ENCFF920PES/, /files/ENCFF682FRI/, /files/ENCFF857VZC/, /files/ENCFF549HLL/	2882805444	ENCODE Processing Pipeline	5a5948f2f2b3ffff9205c8acaea9aa66		https://www.encodeproject.org/files/ENCFF953OLV/@@download/ENCFF953OLV.bam				released	s3://encode-public/2017/09/19/08018ab7-7685-4904-9563-2e57534f684c/ENCFF953OLV.bam	low read depth			embryonic_97_days
ENCFF408AZE	bam	bam		alignments	hg19	ENCSR371KRY	DNase-seq	NTR:0000522	fibroblast of skin of left quadriceps	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_5							/files/ENCFF953OLV/	2228206620	ENCODE Processing Pipeline	58f09c0eaeb379a26cd69c9500efb25e		https://www.encodeproject.org/files/ENCFF408AZE/@@download/ENCFF408AZE.bam				released	s3://encode-public/2017/09/19/6d096402-7115-479a-975d-4fa61808765a/ENCFF408AZE.bam	low read depth			embryonic_97_days
ENCFF331UQF	bam	bam		unfiltered alignments	hg19	ENCSR106OKX	DNase-seq	UBERON:0002113	kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_3							/files/ENCFF985DKR/, /files/ENCFF308EZW/, /files/ENCFF248ZSC/, /files/ENCFF549HLL/	1785972556	ENCODE Processing Pipeline	ecfbc1014a26bcd67523747442ecad75		https://www.encodeproject.org/files/ENCFF331UQF/@@download/ENCFF331UQF.bam				released	s3://encode-public/2017/09/19/804f9bda-eedd-4dd8-b36d-fc1a66a5c794/ENCFF331UQF.bam	low read depth			embryonic_120_days
ENCFF942ZPN	bam	bam		alignments	hg19	ENCSR106OKX	DNase-seq	UBERON:0002113	kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_3							/files/ENCFF331UQF/	1295331939	ENCODE Processing Pipeline	f948f4e5fcc97fc9f679d3384ca8a074		https://www.encodeproject.org/files/ENCFF942ZPN/@@download/ENCFF942ZPN.bam				released	s3://encode-public/2017/09/19/66ff1d8f-e85c-49ec-9a19-df74555af602/ENCFF942ZPN.bam	low read depth			embryonic_120_days
ENCFF155EVY	bam	bam		unfiltered alignments	hg19	ENCSR555TFE	DNase-seq	NTR:0000522	fibroblast of skin of left quadriceps	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_5							/files/ENCFF364VZD/, /files/ENCFF239ZYQ/, /files/ENCFF904EEO/, /files/ENCFF520IRK/, /files/ENCFF934MIQ/, /files/ENCFF549HLL/	2756207173	ENCODE Processing Pipeline	2613a8211397e4991daa65443b9667e4		https://www.encodeproject.org/files/ENCFF155EVY/@@download/ENCFF155EVY.bam				released	s3://encode-public/2017/09/19/85258746-c284-437c-a368-e49036f5964d/ENCFF155EVY.bam	low read depth			embryonic_97_days
ENCFF472PEM	bam	bam		alignments	hg19	ENCSR555TFE	DNase-seq	NTR:0000522	fibroblast of skin of left quadriceps	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_5							/files/ENCFF155EVY/	2117000895	ENCODE Processing Pipeline	a58c1ac298ced89ea5633760b319ab9b		https://www.encodeproject.org/files/ENCFF472PEM/@@download/ENCFF472PEM.bam				released	s3://encode-public/2017/09/19/00ecd47c-3e6c-4b45-ae18-92556293a220/ENCFF472PEM.bam	low read depth			embryonic_97_days
ENCFF411KCV	bam	bam		unfiltered alignments	hg19	ENCSR176KYD	DNase-seq	CL:2000013	fibroblast of skin of abdomen	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_5							/files/ENCFF707PZQ/, /files/ENCFF491YLY/, /files/ENCFF972ZVY/, /files/ENCFF657JQO/, /files/ENCFF346SMK/, /files/ENCFF549HLL/	2407272332	ENCODE Processing Pipeline	7dfa03f07b308b6c94082096171437a0		https://www.encodeproject.org/files/ENCFF411KCV/@@download/ENCFF411KCV.bam				released	s3://encode-public/2017/09/19/8c81938c-3b55-4c39-8655-375db3341cac/ENCFF411KCV.bam	low read depth			embryonic_97_days
ENCFF716TLS	bam	bam		alignments	hg19	ENCSR176KYD	DNase-seq	CL:2000013	fibroblast of skin of abdomen	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_5							/files/ENCFF411KCV/	1829177046	ENCODE Processing Pipeline	d2c1fcb76f885f05fd5856418ba19781		https://www.encodeproject.org/files/ENCFF716TLS/@@download/ENCFF716TLS.bam				released	s3://encode-public/2017/09/19/cda798b5-13ac-4d5f-b0eb-b2c0764f323f/ENCFF716TLS.bam	low read depth			embryonic_97_days
ENCFF805LHM	bam	bam		unfiltered alignments	hg19	ENCSR010ZMK	DNase-seq	UBERON:0002324	muscle of back	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_5							/files/ENCFF252AFY/, /files/ENCFF454NUV/, /files/ENCFF997IAN/, /files/ENCFF520SFG/, /files/ENCFF501QUJ/, /files/ENCFF549HLL/	2271046231	ENCODE Processing Pipeline	863207d2ed41a9f2482f9e90a78ea0c3		https://www.encodeproject.org/files/ENCFF805LHM/@@download/ENCFF805LHM.bam				released	s3://encode-public/2017/09/19/9f4c0fd5-ca0e-4ce2-8d99-4c6137def5e8/ENCFF805LHM.bam	low read depth			embryonic_113_days
ENCFF672LIO	bam	bam		alignments	hg19	ENCSR010ZMK	DNase-seq	UBERON:0002324	muscle of back	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_5							/files/ENCFF805LHM/	1630008166	ENCODE Processing Pipeline	b52a4a29476873abc3241b2b5322e6a7		https://www.encodeproject.org/files/ENCFF672LIO/@@download/ENCFF672LIO.bam				released	s3://encode-public/2017/09/19/bddcdbfb-7b5a-426d-b166-197fb3d7aea8/ENCFF672LIO.bam	low read depth			embryonic_113_days
ENCFF610KGK	bam	bam		unfiltered alignments	hg19	ENCSR214QEO	DNase-seq	UBERON:0000059	large intestine	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_8							/files/ENCFF807HMG/, /files/ENCFF546HJX/, /files/ENCFF444VTK/, /files/ENCFF524MLJ/, /files/ENCFF567CGB/, /files/ENCFF631NIJ/, /files/ENCFF699DXD/, /files/ENCFF090TEE/, /files/ENCFF549HLL/	1877182083	ENCODE Processing Pipeline	71ea29ab23fcb6b50a44a905d19ac22a		https://www.encodeproject.org/files/ENCFF610KGK/@@download/ENCFF610KGK.bam				released	s3://encode-public/2017/09/19/92ed9e2c-3314-4452-b929-dcdba2c3628f/ENCFF610KGK.bam	low read depth, low spot score			embryonic_91_days
ENCFF871APC	bam	bam		alignments	hg19	ENCSR214QEO	DNase-seq	UBERON:0000059	large intestine	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_8							/files/ENCFF610KGK/	1546751233	ENCODE Processing Pipeline	d07c88ae608172972789b303fad9d5e2		https://www.encodeproject.org/files/ENCFF871APC/@@download/ENCFF871APC.bam				released	s3://encode-public/2017/09/19/79d03914-b24c-4439-90b3-b1cbb7e7aa8f/ENCFF871APC.bam	low read depth, low spot score			embryonic_91_days
ENCFF755UYZ	bam	bam		unfiltered alignments	hg19	ENCSR437KLY	DNase-seq	UBERON:0002113	kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_3							/files/ENCFF970TXW/, /files/ENCFF009RHR/, /files/ENCFF196NVH/, /files/ENCFF549HLL/	2078817235	ENCODE Processing Pipeline	4fc94a89f67e2316a273d7c264d22481		https://www.encodeproject.org/files/ENCFF755UYZ/@@download/ENCFF755UYZ.bam				released	s3://encode-public/2017/09/19/5187a1ec-b72b-4793-9550-e4e1ebdcc667/ENCFF755UYZ.bam	low read depth, low spot score			embryonic_85_days
ENCFF377ZKN	bam	bam		alignments	hg19	ENCSR437KLY	DNase-seq	UBERON:0002113	kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_3							/files/ENCFF755UYZ/	1776815181	ENCODE Processing Pipeline	e8916bd30b9677300c39cff478c05338		https://www.encodeproject.org/files/ENCFF377ZKN/@@download/ENCFF377ZKN.bam				released	s3://encode-public/2017/09/19/3612f05c-9495-4041-8618-35472ffe67cc/ENCFF377ZKN.bam	low read depth, low spot score			embryonic_85_days
ENCFF644KGK	bam	bam		unfiltered alignments	hg19	ENCSR729DRB	DNase-seq	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF063AKU/, /files/ENCFF502LJY/, /files/ENCFF549HLL/	2968644866	ENCODE Processing Pipeline	1c6cf929784841e2f1358d54a0953559		https://www.encodeproject.org/files/ENCFF644KGK/@@download/ENCFF644KGK.bam				released	s3://encode-public/2017/09/19/33a7ca66-e0a9-4c28-bb04-bafa11b95645/ENCFF644KGK.bam	low read depth, low spot score			embryonic_nan
ENCFF166VUE	bam	bam		alignments	hg19	ENCSR729DRB	DNase-seq	UBERON:0000473	testis	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF644KGK/	2102948995	ENCODE Processing Pipeline	cafc56b6fa7de6da2a44aa6e2da71d97		https://www.encodeproject.org/files/ENCFF166VUE/@@download/ENCFF166VUE.bam				released	s3://encode-public/2017/09/19/92f394fc-49cf-4fbf-971f-334b042b88a5/ENCFF166VUE.bam	low read depth, low spot score			embryonic_nan
ENCFF777AAH	bam	bam		unfiltered alignments	hg19	ENCSR569ATD	DNase-seq	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day								DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF965NBZ/, /files/ENCFF867KZW/, /files/ENCFF549HLL/	2080911437	ENCODE Processing Pipeline	09c84069cf41206e64427af621d9af9d		https://www.encodeproject.org/files/ENCFF777AAH/@@download/ENCFF777AAH.bam				released	s3://encode-public/2017/09/19/19f32ddd-6f25-4caa-a1bb-4902df2cb65b/ENCFF777AAH.bam	low read depth, low spot score			adult_21_years
ENCFF308TOC	bam	bam		alignments	hg19	ENCSR569ATD	DNase-seq	CL:0000624	CD4-positive, alpha-beta T cell	primary cell	Homo sapiens	G-CSF	7.5 μg/kg	4 day								DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF777AAH/	1693968566	ENCODE Processing Pipeline	75978c3c5117354e05c95447064311fa		https://www.encodeproject.org/files/ENCFF308TOC/@@download/ENCFF308TOC.bam				released	s3://encode-public/2017/09/19/1f75920f-09ee-4331-a7e2-5ded8062d386/ENCFF308TOC.bam	low read depth, low spot score			adult_21_years
ENCFF807WVK	bam	bam		unfiltered alignments	hg19	ENCSR670ZSA	DNase-seq	UBERON:0004539	right kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF029KDA/, /files/ENCFF100GXK/, /files/ENCFF549HLL/	1993143743	ENCODE Processing Pipeline	9faf0ba06970c40d87b9ac68176d15d4		https://www.encodeproject.org/files/ENCFF807WVK/@@download/ENCFF807WVK.bam				released	s3://encode-public/2017/09/19/87ba0aa6-df3f-4105-b64b-1898d4acea6c/ENCFF807WVK.bam	low read depth, low spot score			embryonic_96_days
ENCFF247IAD	bam	bam		alignments	hg19	ENCSR670ZSA	DNase-seq	UBERON:0004539	right kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF807WVK/	1687219706	ENCODE Processing Pipeline	9aa645da6793c0a9efab31536b917747		https://www.encodeproject.org/files/ENCFF247IAD/@@download/ENCFF247IAD.bam				released	s3://encode-public/2017/09/19/fcbbdcb1-3f4a-437f-ba30-26205692e4de/ENCFF247IAD.bam	low read depth, low spot score			embryonic_96_days
ENCFF167XYU	bam	bam		unfiltered alignments	hg19	ENCSR026EOM	DNase-seq	UBERON:0000955	brain	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_1							/files/ENCFF479HXS/, /files/ENCFF549HLL/	1360019706	ENCODE Processing Pipeline	4c9d493a56f9e4c3f69b31cec3cd2903		https://www.encodeproject.org/files/ENCFF167XYU/@@download/ENCFF167XYU.bam				released	s3://encode-public/2017/09/19/ebdeea78-2b84-45c4-bf85-f317e76572e9/ENCFF167XYU.bam	low read depth, low spot score			embryonic_85_days
ENCFF880DLL	bam	bam		unfiltered alignments	hg19	ENCSR026EOM	DNase-seq	UBERON:0000955	brain	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF460YEJ/, /files/ENCFF549HLL/	1230673532	ENCODE Processing Pipeline	5d46a0f744e076c8a96f4e1d70fcb1df		https://www.encodeproject.org/files/ENCFF880DLL/@@download/ENCFF880DLL.bam				released	s3://encode-public/2017/09/19/f18a7ccc-7804-4b1c-99f4-34f1afbc9a8a/ENCFF880DLL.bam	low read depth, low spot score			embryonic_85_days
ENCFF602FMG	bam	bam		alignments	hg19	ENCSR026EOM	DNase-seq	UBERON:0000955	brain	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_1, 1_2							/files/ENCFF167XYU/, /files/ENCFF880DLL/	2197400518	ENCODE Processing Pipeline	88a84207279a0bb3bff440e0a8ee949e		https://www.encodeproject.org/files/ENCFF602FMG/@@download/ENCFF602FMG.bam				released	s3://encode-public/2017/09/19/a5b255b8-2f30-4165-8655-72d9fcbb8599/ENCFF602FMG.bam	low read depth, low spot score			embryonic_85_days
ENCFF192TIE	bam	bam		unfiltered alignments	hg19	ENCSR990XXC	DNase-seq	UBERON:0004539	right kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF572XSJ/, /files/ENCFF442OFP/, /files/ENCFF549HLL/	2043027373	ENCODE Processing Pipeline	a736b3b89591e19d6f994cb77fa2b2a4		https://www.encodeproject.org/files/ENCFF192TIE/@@download/ENCFF192TIE.bam				released	s3://encode-public/2017/09/19/1f3649b9-460e-4e5f-906f-0649dfc87983/ENCFF192TIE.bam	low read depth			embryonic_115_days
ENCFF154HFA	bam	bam		alignments	hg19	ENCSR990XXC	DNase-seq	UBERON:0004539	right kidney	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF192TIE/	1719720300	ENCODE Processing Pipeline	50ff0915fbe453a02d51eeb4b0f870a8		https://www.encodeproject.org/files/ENCFF154HFA/@@download/ENCFF154HFA.bam				released	s3://encode-public/2017/09/19/c4da306b-c70b-4c1c-a47e-55ae7726ce3d/ENCFF154HFA.bam	low read depth			embryonic_115_days
ENCFF219NWH	bam	bam		unfiltered alignments	hg19	ENCSR320TUJ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_3							/files/ENCFF449SGR/, /files/ENCFF764OUC/, /files/ENCFF045DNW/, /files/ENCFF549HLL/	2288910230	ENCODE Processing Pipeline	db4e89b8f0dc0676bb77de512cf9a264		https://www.encodeproject.org/files/ENCFF219NWH/@@download/ENCFF219NWH.bam				released	s3://encode-public/2017/09/19/d10d2a51-2c6f-442d-ad62-aa93f5755b45/ENCFF219NWH.bam	low read depth			adult_50_years
ENCFF333YDM	bam	bam		alignments	hg19	ENCSR320TUJ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_3							/files/ENCFF219NWH/	1682793477	ENCODE Processing Pipeline	21e11a073b57f063aeb326fd3ba5a52c		https://www.encodeproject.org/files/ENCFF333YDM/@@download/ENCFF333YDM.bam				released	s3://encode-public/2017/09/19/e5a4d6fc-3f1d-4be9-bd8e-3ac88f530e20/ENCFF333YDM.bam	low read depth			adult_50_years
ENCFF017HKN	bam	bam		unfiltered alignments	hg19	ENCSR022ECC	DNase-seq	UBERON:0005270	renal cortex interstitium	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF887JZC/, /files/ENCFF457FVL/, /files/ENCFF549HLL/	2440817582	ENCODE Processing Pipeline	6c64b12d8fb73e975bca4feb42a0bdbf		https://www.encodeproject.org/files/ENCFF017HKN/@@download/ENCFF017HKN.bam				released	s3://encode-public/2017/09/19/c81e05ec-4f3d-413d-a7c6-f32842d510b4/ENCFF017HKN.bam	low read depth			embryonic_96_days
ENCFF670TGD	bam	bam		alignments	hg19	ENCSR022ECC	DNase-seq	UBERON:0005270	renal cortex interstitium	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF017HKN/	1535123015	ENCODE Processing Pipeline	8c555bde06470935b7cfbbaa173c7778		https://www.encodeproject.org/files/ENCFF670TGD/@@download/ENCFF670TGD.bam				released	s3://encode-public/2017/09/19/925f6ead-1c63-4b55-a66a-e5ea1713970a/ENCFF670TGD.bam	low read depth			embryonic_96_days
ENCFF838FQU	bam	bam		unfiltered alignments	hg19	ENCSR303YII	DNase-seq	UBERON:0001499	muscle of arm	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_9							/files/ENCFF500PCM/, /files/ENCFF187JEI/, /files/ENCFF400PCJ/, /files/ENCFF762DDD/, /files/ENCFF244EEK/, /files/ENCFF243CEU/, /files/ENCFF677QYQ/, /files/ENCFF794SFF/, /files/ENCFF709WUS/, /files/ENCFF549HLL/	2152139712	ENCODE Processing Pipeline	5d8a4d32ece2f4d948944281a8c1bf26		https://www.encodeproject.org/files/ENCFF838FQU/@@download/ENCFF838FQU.bam				released	s3://encode-public/2017/09/19/e2778fb5-fbf7-4127-b54a-1cedb2bea4f5/ENCFF838FQU.bam	low read depth			embryonic_96_days
ENCFF248VBW	bam	bam		alignments	hg19	ENCSR303YII	DNase-seq	UBERON:0001499	muscle of arm	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_9							/files/ENCFF838FQU/	1584121387	ENCODE Processing Pipeline	e5c4102187a109ff0e01ac662b3ba2c2		https://www.encodeproject.org/files/ENCFF248VBW/@@download/ENCFF248VBW.bam				released	s3://encode-public/2017/09/19/a34a3276-290c-4a09-85e5-5970ee65bfb5/ENCFF248VBW.bam	low read depth			embryonic_96_days
ENCFF359JLX	bam	bam		unfiltered alignments	hg19	ENCSR670VQZ	DNase-seq	CL:0011021	fibroblast of upper back skin	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_4							/files/ENCFF073LTG/, /files/ENCFF837RWQ/, /files/ENCFF684DAZ/, /files/ENCFF920GUM/, /files/ENCFF549HLL/	1892370174	ENCODE Processing Pipeline	529d5011ed5d7c2b2b791dd876c1f693		https://www.encodeproject.org/files/ENCFF359JLX/@@download/ENCFF359JLX.bam				released	s3://encode-public/2017/09/19/ebe51304-ba36-4de8-bb28-45ed241a4648/ENCFF359JLX.bam	low read depth			embryonic_97_days
ENCFF825MKL	bam	bam		alignments	hg19	ENCSR670VQZ	DNase-seq	CL:0011021	fibroblast of upper back skin	primary cell	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_4							/files/ENCFF359JLX/	1418734336	ENCODE Processing Pipeline	2893fe2b8402a83b2f43618f6c0d45ed		https://www.encodeproject.org/files/ENCFF825MKL/@@download/ENCFF825MKL.bam				released	s3://encode-public/2017/09/19/79fa2cce-c077-48e5-8925-19e499b528cb/ENCFF825MKL.bam	low read depth			embryonic_97_days
ENCFF248XVV	bam	bam		unfiltered alignments	hg19	ENCSR357PMV	DNase-seq	UBERON:0001499	muscle of arm	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF825SDM/, /files/ENCFF273BFB/, /files/ENCFF549HLL/	1828987387	ENCODE Processing Pipeline	6ce93f411a92228940d6203e13dc9d95		https://www.encodeproject.org/files/ENCFF248XVV/@@download/ENCFF248XVV.bam				released	s3://encode-public/2017/09/19/06497f33-1f03-41e6-8883-304cebe16d10/ENCFF248XVV.bam	low read depth			embryonic_120_days
ENCFF412NAG	bam	bam		alignments	hg19	ENCSR357PMV	DNase-seq	UBERON:0001499	muscle of arm	tissue	Homo sapiens											DNA						2013-07-31	Roadmap				1	1_2							/files/ENCFF248XVV/	1523793849	ENCODE Processing Pipeline	b6602a010308bccd8aeae47fa577db2f		https://www.encodeproject.org/files/ENCFF412NAG/@@download/ENCFF412NAG.bam				released	s3://encode-public/2017/09/19/c5321ffe-35d1-4b1c-917a-60ae7602c5d1/ENCFF412NAG.bam	low read depth			embryonic_120_days
